LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-12-23 20:50:59,1900-01-00 00:00:00,,B6:CF:9B:43:13:A9,-81, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,B6:CF:9B:43:13:A9,-82, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,9E:8E:42:1D:85:B4,-85, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,C6:43:FB:65:B8:06,-75, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,00:E0:4C:99:64:E4,-64, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,EE:0C:3F:44:48:C1,-53, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,2E:FB:11:65:53:66,-79, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,C8:08:73:13:C7:D8,-68, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,6A:69:92:A1:CA:A5,-76, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-68, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,E8:B0:C5:15:F0:D6,-81,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 20:50:59,1900-01-00 00:00:00,,B4:A2:5C:45:F3:D0,-79, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,B4:A2:5C:45:CC:50,-65, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,96:75:BC:CD:42:0F,-84,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 20:50:59,1900-01-00 00:00:00,,BC:E6:7C:54:11:00,-79, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,Redmi 9A,C6:43:FB:65:B8:06,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,96:75:BC:CD:42:0F,-83,,0.000000,0.000000,0.000,0.000,Client
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,20:A6:CD:73:94:22,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,B4:A2:5C:45:CC:50,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,QuangDT,EE:0C:3F:44:48:C1,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,AA:B1:3B:6D:72:D1,-80, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-69, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-67, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-68, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,20:A6:CD:73:94:22,-82, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,FC:11:65:5E:33:30,-82, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,20:A6:CD:73:94:21,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-68, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-63, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-66, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,Wi-MESH 2.4G,20:A6:CD:73:94:21,-84, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,,20:A6:CD:73:94:22,-85, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,ThanhNhan-ext_2.4G,00:E0:4C:99:64:E4,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-64, OPN,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,ThanhNhan,6A:69:92:A1:CA:A5,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-12-23 20:50:59,1900-01-00 00:00:00,#SPKT Free Miawifi,C8:08:73:13:C7:D8,-65, OPN,0.000000,0.000000,0.000,0.000,AP
